name,team,pos,player_id,proj_own,salary
Luis Rengifo,LAA,2B/3B,10007973,7.54,4600
Mike Ford,CIN,1B,10008236,7.21,3300
Jonathan India,CIN,2B,10009298,7.96,4400
Luis Gil,NYY,SP,10010798,12.56,10800
Luke Raley,SEA,OF,10009041,7.68,3600
Elehuris Montero,COL,1B,10008642,6.51,3300
Thairo Estrada,SF,2B,10007322,8.56,3800
Miguel Amaya,CHC,C,10005466,6.26,2200
Iván Herrera,STL,C,10009515,6.55,3500
Gabriel Moreno,ARI,C,10009629,6.35,3200
Adolis García,TEX,OF,10009516,8.38,5500
Trevor Larnach,MIN,OF,10009306,7.54,3800
Jarred Kelenic,ATL,OF,10009303,7.36,3200
Rob Refsnyder,BOS,OF,10003163,7.3,3800
Travis Jankowski,TEX,OF,10002126,6.21,2200
Matt Vierling,DET,3B/OF,10009878,7.39,4200
Cal Raleigh,SEA,C,10009359,7.5,4400
Jake Meyers,HOU,OF,10009116,6.63,3200
Kutter Crawford,BOS,SP,10009722,10.68,8200
TJ Friedl,CIN,OF,10007252,7.01,5000
Mitch Spence,OAK,RP,10013489,9.34,6500
Jose Miranda,MIN,3B,10007050,6.66,3300
Seiya Suzuki,CHC,OF,10007727,9.39,4600
Brendan Donovan,STL,2B/OF,10010048,7.83,3600
Julio Rodríguez,SEA,OF,10008513,9.21,5000
Ezequiel Tovar,COL,SS,10013284,7.55,5000
Patrick Bailey,SF,C,10011430,6.97,3300
Davis Schneider,TOR,2B/OF,10013566,9.56,4400
Corey Julks,CHW,OF,10009720,7.36,3300
Jeremy Peña,HOU,SS,10009354,7.73,4200
Andre Pallante,STL,RP,10010424,9.3,7500
José Azocar,SD,OF,10006974,7.43,2100
Ty Blach,COL,RP,10002046,9.57,5000
George Kirby,SEA,SP,10010366,7.73,8800
Nolan Gorman,STL,2B,10009287,7.59,3700
Adley Rutschman,BAL,C,10010331,8.91,5600
Michael Harris II,ATL,OF,10010393,9.14,4400
Josh Smith,TEX,3B,10010443,7.11,4000
Sean Bouchard,COL,OF,10008634,6.69,3500
Riley Greene,DET,OF,10010353,7.57,5300
JJ Bleday,OAK,OF,10010337,7.39,3700
Will Benson,CIN,OF,10007012,6.55,4400
Corbin Carroll,ARI,OF,10010342,9.59,4500
Yainer Diaz,HOU,C,10012310,7.36,3400
Gunnar Henderson,BAL,SS,10010354,8.93,6100
Spencer Steer,CIN,1B/OF,10010446,7.78,6000
Alec Burleson,STL,OF,10011466,7.88,3300
Michael Siani,STL,OF,10009378,5.74,2400
Logan O'Hoppe,LAA,C,10009630,7.25,3800
Blaze Alexander,ARI,2B/3B,10009412,5.91,3500
Masyn Winn,STL,SS,10011513,6.13,3300
Connor Norby,BAL,2B,10012591,6.81,2500
Austin Wells,NYY,C,10011501,6.43,3200
David Hamilton,BOS,SS,10011155,7.02,3700
Wilyer Abreu,BOS,OF,10013507,6.59,4200
Brenton Doyle,COL,OF,10010383,6.7,4300
Colton Cowser,BAL,OF,10012485,7.45,4300
Elly De La Cruz,CIN,SS,10012721,8.71,6500
Zach Neto,LAA,SS,10014061,6.81,3400
Jordan Westburg,BAL,2B/3B,10011502,7.77,5000
Dominic Canzone,SEA,OF,10013281,6.98,2700
Wenceel Pérez,DET,OF,10008520,6.79,4600
Ceddanne Rafaela,BOS,OF,10010899,6.52,3400
Enmanuel Valdez,BOS,2B,10009725,6.5,3000
Michael Busch,CHC,1B,10010338,6.96,4400
Colt Keith,DET,2B,10011556,6.59,2900
Anthony Volpe,NYY,SS,10010465,8.54,4900
Zach Remillard,CHW,2B/SS,10008975,5.96,2500
Casey Schmitt,SF,3B/SS,10011511,5.61,2400
Luis Matos,SF,OF,10009459,7.91,3600
Oscar Colás,CHW,OF,10013356,6.74,2000
Jon Singleton,HOU,1B,10000490,6.78,3400
Zack Gelof,OAK,2B,10012542,6.58,3300
Kyle Harrison,SF,SP,10011533,11.91,8100
Tyler Soderstrom,OAK,1B,10011500,5.85,2200
Nolan Schanuel,LAA,1B,10015615,7.37,3300
Adam Mazur,SD,SP,10014046,11.06,7700
Blake Walston,ARI,RP,10010468,12.45,7200
Wyatt Langford,TEX,OF,10015789,6.55,3500
Shota Imanaga,CHC,SP,10016354,17.95,10600
Spencer Arrighetti,HOU,SP,10012627,10.79,6700
Max Schuemann,OAK,SS,10013590,5.57,3000
